City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
439,Nouadhibou,MR,20.931,-17.0347,62.58,82,65,8.05,light rain
440,Baruun-Urt,MN,46.6806,113.2792,10.06,78,100,10.13,overcast clouds
441,Chapais,CA,49.7834,-74.8492,2.98,98,100,6.49,overcast clouds
442,Gavle,SE,60.6745,17.1417,36.34,99,100,1.99,light snow
443,Kerman,IR,30.2832,57.0788,44.46,53,0,0.0,clear sky
444,Nongan,CN,44.382,125.1685,13.98,76,99,6.31,overcast clouds
445,Staunton,US,38.1496,-79.0717,28.49,50,100,3.44,overcast clouds
446,Anloga,GH,5.7947,0.8973,77.74,73,4,4.54,clear sky
447,Lerwick,GB,60.1545,-1.1494,35.6,59,92,23.09,overcast clouds
448,Beroroha,MG,-21.6667,45.1667,86.05,52,79,6.24,broken clouds
449,Gabu,GW,12.2833,-14.2167,66.97,77,97,3.87,overcast clouds
450,Coquimbo,CL,-29.9533,-71.3436,62.33,67,0,5.75,clear sky
451,Capreol,CA,46.706,-80.9225,11.55,85,100,4.61,overcast clouds
452,Rosita,NI,13.9268,-84.4032,68.27,99,71,3.33,broken clouds
453,General Pico,AR,-35.6566,-63.7568,60.82,24,0,8.37,clear sky
454,Komsomolskiy,UZ,40.4272,71.7189,29.12,93,6,2.3,mist
455,Tiarei,PF,-17.5333,-149.3333,80.62,81,2,12.84,clear sky
456,Xining,CN,36.6167,101.7667,21.76,34,20,2.51,few clouds
457,Mar Del Plata,AR,-38.0023,-57.5575,61.09,89,0,11.99,clear sky
458,Mwanza,TZ,-2.5167,32.9,68.99,83,100,8.28,moderate rain
459,Waipawa,NZ,-41.4122,175.5153,59.5,72,50,6.78,scattered clouds
460,Buzdyak,RU,54.5833,54.55,9.28,99,99,5.5,overcast clouds
461,Murgab,TM,37.4966,61.9714,40.87,75,100,2.3,mist
462,Conceicao Do Araguaia,BR,-8.2578,-49.2647,71.28,98,100,2.89,overcast clouds
463,Bayan,CN,46.0833,127.4,7.57,87,100,0.6,overcast clouds
464,Santa Rosa,PH,14.3122,121.1114,80.11,70,91,14.76,overcast clouds
465,Ha Tinh,VN,18.3333,105.9,69.08,82,94,3.36,overcast clouds
466,Devgarh,IN,25.5333,73.9,66.97,14,0,6.71,clear sky
467,Bensonville,LR,6.4461,-10.6125,74.21,90,50,3.76,scattered clouds
468,Cayenne,GF,4.9333,-52.3333,75.24,94,75,9.22,broken clouds
469,Goderich,CA,43.7501,-81.7165,26.91,74,100,13.8,light snow
470,Nalut,LY,30.3333,10.85,49.06,85,0,9.64,clear sky
471,Hamilton,US,39.1834,-84.5333,27.23,86,100,0.0,overcast clouds
472,Shelburne,CA,44.0787,-80.2041,18.9,94,100,12.95,overcast clouds
473,Sri Aman,MY,1.2376,111.4621,87.85,70,40,4.61,scattered clouds
474,Qixingtai,CN,30.4135,111.8874,46.67,36,100,8.39,overcast clouds
475,Aasiaat,GL,68.7098,-52.8699,-10.14,89,25,10.69,scattered clouds
476,Kaitong,CN,44.8135,123.15,10.49,89,100,5.37,light snow
477,Lavrentiya,RU,65.5833,-171.0,-0.85,94,7,12.57,clear sky
478,Nemuro,JP,43.3236,145.575,36.03,73,58,13.91,broken clouds
479,Bhag,PK,29.0415,67.8239,67.84,17,99,4.0,overcast clouds
480,Geraldton,AU,-28.7667,114.6,79.21,53,0,27.63,clear sky
481,Fortuna Foothills,US,32.6578,-114.4119,56.68,43,0,5.75,clear sky
482,Linjiang,CN,41.8069,126.9078,20.08,70,89,1.7,overcast clouds
483,Ambon,ID,-3.6954,128.1814,82.54,74,40,3.44,scattered clouds
484,Banfora,BF,10.6333,-4.7667,66.02,29,4,4.85,clear sky
485,Achutupo,PA,9.2,-77.9833,77.92,79,75,4.79,broken clouds
486,Kingsville,US,27.5159,-97.8561,44.78,79,0,4.61,clear sky
487,Ust-Maya,RU,60.4167,134.5333,-33.12,100,100,0.98,overcast clouds
488,Esna,EG,25.2934,32.554,53.62,59,0,11.97,clear sky
489,Monrovia,LR,6.3005,-10.7969,77.59,82,56,5.08,light rain
490,Kibre Mengist,ET,5.8833,38.9833,67.62,55,99,3.96,overcast clouds
491,Reconquista,AR,-29.15,-59.65,68.54,38,46,6.31,light rain
492,Truth Or Consequences,US,33.1284,-107.2528,41.14,56,0,5.75,clear sky
493,Boa Vista,BR,2.8197,-60.6733,76.98,83,75,8.05,broken clouds
494,Lakatoro,VU,-16.0999,167.4164,82.2,76,98,6.38,overcast clouds
495,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.51,91,55,7.14,broken clouds
496,Iqaluit,CA,63.7506,-68.5145,19.13,63,100,11.5,overcast clouds
497,Vung Tau,VN,10.346,107.0843,78.31,67,95,5.75,overcast clouds
498,Port Lincoln,AU,-34.7333,135.8667,77.74,59,93,9.6,overcast clouds
499,Bose,IT,45.4612,8.0137,42.21,94,2,4.61,clear sky
500,Shatrovo,RU,56.5167,64.6333,13.48,94,100,4.18,overcast clouds
501,Alofi,NU,-19.0595,-169.9187,80.49,83,11,3.44,few clouds
502,Barguzin,RU,53.6167,109.6167,4.68,92,76,1.25,broken clouds
503,Usinsk,RU,65.9939,57.5281,2.98,99,95,9.01,overcast clouds
504,Rochefort,FR,45.9167,-1.0,42.85,92,86,4.76,overcast clouds
505,Abu Kamal,SY,34.4506,40.9171,53.65,67,100,8.19,overcast clouds
506,Marawi,PH,7.9986,124.2928,69.33,97,100,4.34,overcast clouds
507,Constitucion,CL,-35.3333,-72.4167,55.33,90,1,5.75,clear sky
508,Poya,NC,-21.35,165.15,74.35,93,100,4.65,overcast clouds
509,Beringovskiy,RU,63.05,179.3167,6.62,87,100,19.28,overcast clouds
510,Chicama,PE,-7.8447,-79.1469,63.14,75,81,3.65,broken clouds
511,Creel,MX,27.75,-107.6333,35.37,43,0,5.01,clear sky
512,Hailey,US,43.5196,-114.3153,31.86,88,0,5.75,clear sky
513,Hanting,CN,36.7708,119.2108,37.04,29,60,9.66,broken clouds
514,Fortuna,US,40.5982,-124.1573,58.35,96,100,21.85,heavy intensity rain
515,Aden,YE,12.7794,45.0367,77.7,73,53,9.91,broken clouds
516,Mecca,SA,21.4267,39.8261,67.08,48,0,13.27,clear sky
517,Ust-Ishim,RU,57.6935,71.1665,13.15,95,100,3.58,overcast clouds
518,Moron,AR,-34.6534,-58.6198,71.78,66,0,5.32,clear sky
519,San Cristobal,VE,7.7669,-72.225,61.81,70,77,2.06,broken clouds
520,Mweka,CD,-4.85,21.5667,69.6,96,98,0.47,overcast clouds
521,San Ramon,US,37.7799,-121.978,55.72,93,100,3.44,moderate rain
522,Brae,GB,60.3964,-1.353,36.59,58,100,23.22,overcast clouds
523,Wattegama,LK,6.7989,81.4808,85.98,59,17,2.51,few clouds
524,Atikokan,CA,48.7555,-91.6216,1.63,92,100,5.75,overcast clouds
525,Ancud,CL,-41.8697,-73.8203,45.12,82,8,5.3,clear sky
526,Catalao,BR,-18.1658,-47.9464,64.69,96,100,4.21,overcast clouds
527,Buala,SB,-8.145,159.5921,82.62,77,100,5.84,light rain
528,Olafsvik,IS,64.8945,-23.7142,25.45,87,100,17.34,light snow
529,Hualmay,PE,-11.0964,-77.6139,69.28,82,99,6.22,overcast clouds
530,Boyolangu,ID,-8.1181,111.8935,83.59,67,99,3.67,light rain
531,Quirinopolis,BR,-18.4483,-50.4517,69.48,95,99,9.69,overcast clouds
532,Fukue,JP,32.6881,128.8419,52.16,54,20,9.22,few clouds
533,Tutoia,BR,-2.7619,-42.2744,78.82,78,47,11.79,scattered clouds
534,Indianola,US,41.3581,-93.5574,1.89,78,16,1.01,few clouds
535,Bardiyah,LY,31.7561,25.0865,60.17,78,0,10.18,clear sky
536,Gat,IL,31.61,34.7642,56.08,100,78,16.64,broken clouds
537,Udachnyy,RU,66.4167,112.4,7.45,84,100,14.72,overcast clouds
538,Kurilsk,RU,45.2333,147.8833,33.57,86,98,14.81,light snow
539,Mossendjo,CG,-2.9506,12.7261,69.69,98,92,1.03,overcast clouds
540,Stillwater,US,36.1156,-97.0584,18.21,83,0,0.0,clear sky
541,Rajanpur,PK,29.1035,70.325,66.9,16,100,0.89,overcast clouds
542,Belfast,GB,54.5833,-5.9333,37.99,93,75,9.22,broken clouds
543,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,68.77,98,100,3.85,overcast clouds
544,Svetlogorsk,BY,52.6333,29.7333,32.95,100,100,4.94,overcast clouds
545,Requena,ES,39.4883,-1.1004,44.8,66,4,4.43,clear sky
546,Ginda,IN,30.6945,78.4932,57.52,13,0,6.6,clear sky
547,Aksha,RU,50.2814,113.2867,12.11,78,100,10.89,overcast clouds
548,Concordia,AR,-31.393,-58.0209,61.72,41,20,4.16,few clouds
549,Hauterive,FR,46.0901,3.4459,36.36,95,80,2.53,broken clouds
550,Sitka,US,57.0531,-135.33,42.69,81,100,5.75,moderate rain
551,Peterhead,GB,57.5058,-1.7981,34.2,73,46,14.79,scattered clouds
552,Lengshuitan,CN,26.4111,111.5956,54.12,40,53,6.93,broken clouds
553,Jalu,LY,29.0331,21.5482,53.92,68,0,5.23,clear sky
554,Atbasar,KZ,51.8,68.3333,11.71,96,99,5.37,overcast clouds
555,Filadelfia,US,39.9523,-75.1638,29.77,62,100,5.75,overcast clouds
556,Khani,GE,41.9563,42.9566,35.17,98,100,1.41,snow
557,Lasa,IT,46.6166,10.7002,43.68,93,61,6.49,broken clouds
558,Kankon,IN,15.0167,74.0167,87.6,52,24,4.68,few clouds
559,Mgandu,TZ,-5.95,34.1333,64.92,85,100,2.95,light rain
560,San Andres,CO,12.5847,-81.7006,80.62,78,20,11.5,light rain
561,Barda,AZ,40.3744,47.1267,34.88,75,14,2.44,few clouds
562,Masumbwe,TZ,-3.6333,32.1833,65.37,93,100,2.35,overcast clouds
563,Yakeshi,CN,49.2833,120.7333,-1.93,95,100,3.42,overcast clouds
564,Turayf,SA,31.6725,38.6637,41.25,100,100,11.5,fog
565,Lata,PT,40.1629,-8.3327,49.86,94,2,3.13,clear sky
566,Agar,IN,23.7,76.0167,69.37,29,0,6.71,clear sky
